Tick,Bandicoots,Invaders,Foxes,Grass_Health_Index,Total_Bandicoots_Eaten,Trap_Deaths,Old_Age_Deaths,Hunger_Deaths
613,0,0,0,3609,30,966,6,0
614,0,0,0,3609,30,966,6,0
615,0,0,0,3609,30,966,6,0
616,0,0,0,3609,30,966,6,0
617,0,0,0,3609,30,966,6,0
618,0,0,0,3609,30,966,6,0
619,0,0,0,3609,30,966,6,0
620,0,0,0,3609,30,966,6,0
621,0,0,0,3609,30,966,6,0
622,0,0,0,3609,30,966,6,0
623,0,0,0,3609,30,966,6,0
624,0,0,0,3609,30,966,6,0
625,0,0,0,3609,30,966,6,0
626,0,0,0,3609,30,966,6,0
627,0,0,0,3609,30,966,6,0
628,0,0,0,3609,30,966,6,0
629,0,0,0,3609,30,966,6,0
630,0,0,0,3609,30,966,6,0
631,0,0,0,3609,30,966,6,0
632,0,0,0,3609,30,966,6,0
633,0,0,0,3609,30,966,6,0
634,0,0,0,3609,30,966,6,0
635,0,0,0,3609,30,966,6,0
636,0,0,0,3609,30,966,6,0
637,0,0,0,3609,30,966,6,0
638,0,0,0,3609,30,966,6,0
639,0,0,0,3609,30,966,6,0
640,0,0,0,3609,30,966,6,0
641,0,0,0,3609,30,966,6,0
642,0,0,0,3609,30,966,6,0
643,0,0,0,3609,30,966,6,0
644,0,0,0,3609,30,966,6,0
645,0,0,0,3609,30,966,6,0
646,0,0,0,3609,30,966,6,0
647,0,0,0,3609,30,966,6,0
648,0,0,0,3609,30,966,6,0
649,0,0,0,3609,30,966,6,0
650,0,0,0,3609,30,966,6,0
651,0,0,0,3609,30,966,6,0
652,0,0,0,3609,30,966,6,0
653,0,0,0,3609,30,966,6,0
654,0,0,0,3609,30,966,6,0
655,0,0,0,3609,30,966,6,0
656,0,0,0,3609,30,966,6,0
657,0,0,0,3609,30,966,6,0
658,0,0,0,3609,30,966,6,0
659,0,0,0,3609,30,966,6,0
660,0,0,0,3609,30,966,6,0
661,0,0,0,3609,30,966,6,0
662,0,0,0,3609,30,966,6,0
663,0,0,0,3609,30,966,6,0
664,0,0,0,3609,30,966,6,0
665,0,0,0,3609,30,966,6,0
666,0,0,0,3609,30,966,6,0
667,0,0,0,3609,30,966,6,0
668,0,0,0,3609,30,966,6,0
669,0,0,0,3609,30,966,6,0
670,0,0,0,3609,30,966,6,0
671,0,0,0,3609,30,966,6,0
672,0,0,0,3609,30,966,6,0
673,0,0,0,3609,30,966,6,0
674,0,0,0,3609,30,966,6,0
675,0,0,0,3609,30,966,6,0
676,0,0,0,3609,30,966,6,0
677,0,0,0,3609,30,966,6,0
678,0,0,0,3609,30,966,6,0
679,0,0,0,3609,30,966,6,0
680,0,0,0,3609,30,966,6,0
681,0,0,0,3609,30,966,6,0
682,0,0,0,3609,30,966,6,0
683,0,0,0,3609,30,966,6,0
684,0,0,0,3609,30,966,6,0
685,0,0,0,3609,30,966,6,0
686,0,0,0,3609,30,966,6,0
687,0,0,0,3609,30,966,6,0
688,0,0,0,3609,30,966,6,0
689,0,0,0,3609,30,966,6,0
690,0,0,0,3609,30,966,6,0
691,0,0,0,3609,30,966,6,0
692,0,0,0,3609,30,966,6,0
693,0,0,0,3609,30,966,6,0
694,0,0,0,3609,30,966,6,0
695,0,0,0,3609,30,966,6,0
696,0,0,0,3609,30,966,6,0
697,0,0,0,3609,30,966,6,0
698,0,0,0,3609,30,966,6,0
699,0,0,0,3609,30,966,6,0
700,0,0,0,3609,30,966,6,0
701,0,0,0,3609,30,966,6,0
